,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,C7,C8
A1,0,3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
A2,3,0,4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,inf,inf,inf,inf,inf
A3,inf,4,0,4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
A4,inf,inf,4,0,5,inf,3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
A5,inf,inf,inf,5,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
B1,inf,inf,inf,inf,inf,0,4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
B2,inf,inf,inf,3,inf,4,0,3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
B3,inf,inf,inf,inf,inf,inf,3,0,3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
B4,inf,inf,inf,inf,inf,inf,inf,3,0,4,inf,inf,inf,inf,inf,5,inf,inf,inf
B5,inf,inf,inf,inf,inf,inf,inf,inf,4,0,3,inf,inf,inf,inf,inf,inf,inf,inf
B6,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,0,inf,inf,inf,inf,inf,inf,inf,inf
C1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,5,inf,inf,inf,inf,inf,inf
C2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5,0,4,inf,inf,inf,inf,inf
C3,inf,3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4,0,3,inf,inf,inf,inf
C4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,0,3,inf,inf,inf
C5,inf,inf,inf,inf,inf,inf,inf,inf,5,inf,inf,inf,inf,inf,3,0,4,inf,inf
C6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4,0,4,inf
C7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4,0,3
C8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,0
